Parameter,Label,Value,Bridge,Run,Polarization,Churn_Rate,Revenue,Avg_Frustration,Active_Users
BETA_MEAN,Cognitive Entrenchment (β),3.0,True,1,0.9308436219785544,0.006,198.8,0.4386317907444668,497.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,True,2,0.9594320761358632,0.0,200.0,0.474,500.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,True,3,0.9481721059053448,0.0,200.0,0.446,500.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,True,4,0.9393706192184187,0.002,199.60000000000002,0.43286573146292584,499.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,False,0,0.9953985465532528,0.36,128.0,1.290625,320.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,False,1,0.9766764008250769,0.368,126.4,0.870253164556962,316.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,False,2,0.9669266466372876,0.39,122.0,1.1672131147540983,305.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,False,3,0.9145696479614734,0.396,120.80000000000001,0.8245033112582781,302.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,False,4,0.9901826742598173,0.36,128.0,1.04375,320.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,True,0,0.9935702254106348,0.006,198.8,0.5090543259557344,497.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,True,1,0.990574147310863,0.002,199.60000000000002,0.6653306613226453,499.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,True,2,0.9959642549205482,0.006,198.8,0.5613682092555332,497.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,True,3,0.9920607456014681,0.002,199.60000000000002,0.6032064128256514,499.0
BETA_MEAN,Cognitive Entrenchment (β),4.0,True,4,0.9906145720052312,0.006,198.8,0.5070422535211268,497.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,False,0,0.9949386543469746,0.388,122.4,1.2908496732026145,306.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,False,1,0.9769300977922729,0.41,118.0,1.1491525423728814,295.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,False,2,0.9795162383427759,0.414,117.2,0.9658703071672355,293.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,False,3,0.923346278074487,0.434,113.2,0.872791519434629,283.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,False,4,0.9780881631725871,0.414,117.2,0.7508532423208191,293.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,True,0,0.9986346760549708,0.004,199.20000000000002,0.6947791164658634,498.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,True,1,0.9997569995636271,0.002,199.60000000000002,0.6833667334669339,499.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,True,2,0.9987340626131098,0.006,198.8,0.5814889336016097,497.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,True,3,0.9986772027416925,0.004,199.20000000000002,0.6807228915662651,498.0
BETA_MEAN,Cognitive Entrenchment (β),5.0,True,4,0.9987139223029048,0.002,199.60000000000002,0.6913827655310621,499.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,False,0,0.9963837385704295,0.388,122.4,1.2941176470588236,306.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,False,1,0.9783628247662819,0.42,116.0,1.0310344827586206,290.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,False,2,0.9643569328819448,0.418,116.4,0.9587628865979382,291.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,False,3,0.9448756787932394,0.444,111.2,0.8597122302158273,278.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,False,4,0.9931979204638584,0.416,116.80000000000001,0.863013698630137,292.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,True,0,0.9996079231378688,0.0,200.0,0.684,500.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,True,1,0.9999274178913924,0.004,199.20000000000002,0.6204819277108434,498.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,True,2,0.9985350774582006,0.002,199.60000000000002,0.6773547094188377,499.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,True,3,0.9993412868527942,0.008,198.4,0.5705645161290323,496.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,False,0,0.9931252148745132,0.402,119.60000000000001,1.080267558528428,299.0
BETA_MEAN,Cognitive Entrenchment (β),6.0,True,4,0.9994148298607904,0.006,198.8,0.607645875251509,497.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,False,1,0.9885818385023951,0.416,116.80000000000001,0.9863013698630136,292.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,False,2,0.9695488587934459,0.412,117.60000000000001,0.9081632653061225,294.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,False,3,0.9477045723966012,0.436,112.80000000000001,0.8723404255319149,282.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,False,4,0.9931979204638584,0.416,116.80000000000001,0.863013698630137,292.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,True,0,0.999419512562627,0.002,199.60000000000002,0.6753507014028056,499.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,True,1,0.9999016019797708,0.002,199.60000000000002,0.5971943887775552,499.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,True,2,0.9985350774582006,0.002,199.60000000000002,0.6773547094188377,499.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,True,3,0.9996079231378691,0.0,200.0,0.62,500.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,False,0,0.9931252148745132,0.402,119.60000000000001,1.080267558528428,299.0
BETA_MEAN,Cognitive Entrenchment (β),7.0,True,4,0.9994148298607904,0.006,198.8,0.607645875251509,497.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,False,1,0.9732544637854524,0.408,118.4,1.0675675675675675,296.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,False,2,0.9695488587934459,0.412,117.60000000000001,0.9081632653061225,294.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,False,3,0.9624447404225601,0.418,116.4,1.127147766323024,291.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,False,4,0.9931979204638584,0.416,116.80000000000001,0.863013698630137,292.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,True,0,0.999419512562627,0.002,199.60000000000002,0.6753507014028056,499.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,True,1,0.9999016019797708,0.002,199.60000000000002,0.5971943887775552,499.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,True,2,0.9985350774582006,0.002,199.60000000000002,0.6773547094188377,499.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,True,3,0.9996079231378691,0.0,200.0,0.62,500.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,False,0,0.9901133477775762,0.372,125.60000000000001,1.1401273885350318,314.0
BETA_MEAN,Cognitive Entrenchment (β),8.0,True,4,0.9994148298607904,0.006,198.8,0.607645875251509,497.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,False,1,0.9773961172859227,0.388,122.4,0.8725490196078431,306.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,False,2,0.9779336748150662,0.388,122.4,1.2254901960784315,306.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,False,3,0.8978741917669715,0.394,121.2,0.6171617161716172,303.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,False,4,0.9822515836084689,0.362,127.60000000000001,1.0,319.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,True,0,0.9892648800514283,0.006,198.8,0.5734406438631791,497.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,True,1,0.988214093295537,0.0,200.0,0.578,500.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,True,2,0.9850808992888269,0.002,199.60000000000002,0.5951903807615231,499.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,True,3,0.9813764680663905,0.004,199.20000000000002,0.5,498.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,False,0,0.9860120955552221,0.38,124.0,0.832258064516129,310.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.1,True,4,0.9896531417671367,0.0,200.0,0.532,500.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,False,1,0.9834568080518183,0.382,123.60000000000001,0.919093851132686,309.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,False,2,0.9659040627468475,0.39,122.0,1.0655737704918034,305.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,False,3,0.9026014382603462,0.406,118.80000000000001,0.8855218855218855,297.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,False,4,0.9841522214231293,0.372,125.60000000000001,0.9936305732484076,314.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,True,0,0.9925602486207927,0.004,199.20000000000002,0.6305220883534136,498.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,True,1,0.9918255410125913,0.0,200.0,0.498,500.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,True,2,0.9950414713815376,0.002,199.60000000000002,0.6633266533066132,499.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,True,3,0.9894651785977724,0.004,199.20000000000002,0.5441767068273092,498.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,False,0,0.9953985465532528,0.36,128.0,1.290625,320.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.2,True,4,0.9874008510335356,0.0,200.0,0.608,500.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,False,1,0.9766764008250769,0.368,126.4,0.870253164556962,316.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,False,2,0.9669266466372876,0.39,122.0,1.1672131147540983,305.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,False,3,0.9145696479614734,0.396,120.80000000000001,0.8245033112582781,302.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,False,4,0.9901826742598173,0.36,128.0,1.04375,320.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,True,0,0.9935702254106348,0.006,198.8,0.5090543259557344,497.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,True,1,0.990574147310863,0.002,199.60000000000002,0.6653306613226453,499.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,True,2,0.9959642549205482,0.006,198.8,0.5613682092555332,497.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,True,3,0.9920607456014681,0.002,199.60000000000002,0.6032064128256514,499.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,False,0,0.9986957622862104,0.36,128.0,0.934375,320.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.3,True,4,0.9906145720052312,0.006,198.8,0.5070422535211268,497.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,False,1,0.9765234043952019,0.396,120.80000000000001,0.8675496688741722,302.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,False,2,0.9879367388451076,0.398,120.4,1.1262458471760797,301.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,False,3,0.9093934423442481,0.398,120.4,0.9136212624584718,301.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,False,4,0.9793132085595423,0.384,123.2,0.9123376623376623,308.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,True,0,0.9960805275080198,0.002,199.60000000000002,0.5190380761523046,499.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,True,1,0.9929642571533641,0.01,198.0,0.5454545454545454,495.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,True,2,0.997546002952711,0.004,199.20000000000002,0.7128514056224899,498.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,True,3,0.9860601560683881,0.0,200.0,0.532,500.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,False,0,0.9897221599065844,0.386,122.80000000000001,0.9837133550488599,307.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.4,True,4,0.9939860565258355,0.002,199.60000000000002,0.6112224448897795,499.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,False,1,0.9857920699465876,0.382,123.60000000000001,0.9352750809061489,309.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,False,2,0.9903034054227646,0.39,122.0,1.2295081967213115,305.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,False,4,0.9812724780708736,0.386,122.80000000000001,1.1205211726384365,307.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,False,3,0.9395310959567941,0.404,119.2,0.7919463087248322,298.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,True,1,0.9955085417746045,0.002,199.60000000000002,0.5591182364729459,499.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,True,0,0.9954498725393496,0.006,198.8,0.6297786720321932,497.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,True,2,0.9979258931618713,0.0,200.0,0.666,500.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,True,3,0.9876959912790839,0.002,199.60000000000002,0.5671342685370742,499.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,False,0,0.9803978780978619,0.514,97.2,0.11522633744855967,243.0
ASSIMILATION_THRESHOLD,Assimilation Threshold,0.5,True,4,0.9997569995636268,0.002,199.60000000000002,0.593186372745491,499.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,False,1,0.9224864886391091,0.544,91.2,0.05701754385964912,228.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,False,2,0.9820672854723885,0.554,89.2,0.1210762331838565,223.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,False,3,0.8033261937561792,0.534,93.2,0.09871244635193133,233.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,False,4,0.92203879428617,0.52,96.0,0.1125,240.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,True,0,0.9894986924410254,0.208,158.4,0.2878787878787879,396.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,True,1,0.9907054144365999,0.206,158.8,0.23929471032745592,397.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,True,2,0.9895839056964653,0.194,161.20000000000002,0.38957816377171217,403.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,True,3,0.9672233851731488,0.22,156.0,0.3230769230769231,390.0
CHURN_THRESHOLD,Churn Threshold (T_c),5.0,True,4,0.9951044742089962,0.198,160.4,0.3167082294264339,401.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,False,0,0.9725137270115859,0.442,111.60000000000001,0.46953405017921146,279.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,False,1,0.985144981571562,0.426,114.80000000000001,0.4181184668989547,287.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,False,2,0.9772185536694546,0.426,114.80000000000001,0.5400696864111498,287.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,False,3,0.8743626007494055,0.462,107.60000000000001,0.40892193308550184,269.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,False,4,0.9884806815447488,0.416,116.80000000000001,0.6678082191780822,292.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,True,0,0.9955238596398857,0.028,194.4,0.4835390946502058,486.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,True,1,0.9926492146590562,0.026,194.8,0.5256673511293635,487.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,True,2,0.9958101026750035,0.014,197.20000000000002,0.5456389452332657,493.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,True,3,0.985764997798923,0.014,197.20000000000002,0.5253549695740365,493.0
CHURN_THRESHOLD,Churn Threshold (T_c),10.0,True,4,0.9898887526851967,0.018,196.4,0.5417515274949084,491.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,False,0,0.9953985465532528,0.36,128.0,1.290625,320.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,False,1,0.9766764008250769,0.368,126.4,0.870253164556962,316.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,False,2,0.9669266466372876,0.39,122.0,1.1672131147540983,305.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,False,3,0.9145696479614734,0.396,120.80000000000001,0.8245033112582781,302.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,False,4,0.9901826742598173,0.36,128.0,1.04375,320.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,True,0,0.9935702254106348,0.006,198.8,0.5090543259557344,497.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,True,1,0.990574147310863,0.002,199.60000000000002,0.6653306613226453,499.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,True,2,0.9959642549205482,0.006,198.8,0.5613682092555332,497.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,True,3,0.9920607456014681,0.002,199.60000000000002,0.6032064128256514,499.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,False,0,0.9954721152342769,0.336,132.8,1.1957831325301205,332.0
CHURN_THRESHOLD,Churn Threshold (T_c),15.0,True,4,0.9906145720052312,0.006,198.8,0.5070422535211268,497.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,False,1,0.9860490700774018,0.356,128.8,1.3819875776397517,322.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,False,2,0.9814252689304125,0.36,128.0,1.38125,320.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,False,3,0.9192028504364024,0.376,124.80000000000001,1.0705128205128205,312.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,False,4,0.9865997337019581,0.356,128.8,1.2763975155279503,322.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,True,0,0.988562081800156,0.002,199.60000000000002,0.5270541082164328,499.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,True,1,0.9923694681344017,0.0,200.0,0.58,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,True,2,0.9968732099993217,0.0,200.0,0.614,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,True,3,0.9890816474346777,0.0,200.0,0.51,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,False,0,0.9920661251058529,0.302,139.6,2.5988538681948423,349.0
CHURN_THRESHOLD,Churn Threshold (T_c),20.0,True,4,0.9950925199736244,0.0,200.0,0.584,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,False,1,0.9932960680896705,0.31,138.0,2.6695652173913045,345.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,False,2,0.9812940816910896,0.316,136.8,3.0116959064327484,342.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,False,3,0.9569278288594882,0.32,136.0,2.411764705882353,340.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,False,4,0.9804637584114795,0.31,138.0,2.4057971014492754,345.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,True,0,0.9948115423147543,0.0,200.0,0.54,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,True,1,0.9923694681344017,0.0,200.0,0.58,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,True,2,0.9968732099993217,0.0,200.0,0.614,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,True,3,0.9890816474346777,0.0,200.0,0.51,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),30.0,True,4,0.9950925199736244,0.0,200.0,0.584,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,False,0,0.9896602772026499,0.242,151.6,6.04221635883905,379.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,False,2,0.9865799540491303,0.274,145.20000000000002,5.895316804407713,363.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,False,1,0.9941133884941347,0.266,146.8,5.953678474114441,367.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,False,3,0.9678221367800086,0.268,146.4,5.770491803278689,366.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,False,4,0.978112506913222,0.258,148.4,6.38544474393531,371.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,True,0,0.9948115423147543,0.0,200.0,0.54,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,True,1,0.9923694681344017,0.0,200.0,0.58,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,True,2,0.9968732099993217,0.0,200.0,0.614,500.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,True,3,0.9890816474346777,0.0,200.0,0.51,500.0
NUM_ISSUES,Number of Issues (N),1.0,False,0,0.9708237485777784,0.396,120.80000000000001,1.0430463576158941,302.0
CHURN_THRESHOLD,Churn Threshold (T_c),50.0,True,4,0.9950925199736244,0.0,200.0,0.584,500.0
NUM_ISSUES,Number of Issues (N),1.0,False,1,0.9959326392610894,0.366,126.80000000000001,0.8233438485804416,317.0
NUM_ISSUES,Number of Issues (N),1.0,False,2,0.9876915920111311,0.392,121.60000000000001,0.9736842105263158,304.0
NUM_ISSUES,Number of Issues (N),1.0,False,3,0.9895803236987816,0.394,121.2,1.0891089108910892,303.0
NUM_ISSUES,Number of Issues (N),1.0,False,4,0.8783782816250445,0.41,118.0,0.8508474576271187,295.0
NUM_ISSUES,Number of Issues (N),1.0,True,0,0.9857933210947353,0.002,199.60000000000002,0.5250501002004008,499.0
NUM_ISSUES,Number of Issues (N),1.0,True,1,0.9879787365632231,0.006,198.8,0.49899396378269617,497.0
NUM_ISSUES,Number of Issues (N),1.0,True,2,0.9949051989859246,0.004,199.20000000000002,0.6506024096385542,498.0
NUM_ISSUES,Number of Issues (N),1.0,True,3,0.9938505329906036,0.01,198.0,0.6101010101010101,495.0
NUM_ISSUES,Number of Issues (N),1.0,True,4,0.9944263619480541,0.01,198.0,0.5959595959595959,495.0
NUM_ISSUES,Number of Issues (N),2.0,False,0,0.9953985465532528,0.36,128.0,1.290625,320.0
NUM_ISSUES,Number of Issues (N),2.0,False,1,0.9766764008250769,0.368,126.4,0.870253164556962,316.0
NUM_ISSUES,Number of Issues (N),2.0,False,2,0.9669266466372876,0.39,122.0,1.1672131147540983,305.0
NUM_ISSUES,Number of Issues (N),2.0,False,3,0.9145696479614734,0.396,120.80000000000001,0.8245033112582781,302.0
NUM_ISSUES,Number of Issues (N),2.0,False,4,0.9901826742598173,0.36,128.0,1.04375,320.0
NUM_ISSUES,Number of Issues (N),2.0,True,0,0.9935702254106348,0.006,198.8,0.5090543259557344,497.0
NUM_ISSUES,Number of Issues (N),2.0,True,1,0.990574147310863,0.002,199.60000000000002,0.6653306613226453,499.0
NUM_ISSUES,Number of Issues (N),2.0,True,2,0.9959642549205482,0.006,198.8,0.5613682092555332,497.0
NUM_ISSUES,Number of Issues (N),2.0,True,3,0.9920607456014681,0.002,199.60000000000002,0.6032064128256514,499.0
NUM_ISSUES,Number of Issues (N),3.0,False,0,0.9363150818139659,0.344,131.20000000000002,0.9634146341463414,328.0
NUM_ISSUES,Number of Issues (N),2.0,True,4,0.9906145720052312,0.006,198.8,0.5070422535211268,497.0
NUM_ISSUES,Number of Issues (N),3.0,False,1,0.9748346274819518,0.384,123.2,0.9935064935064936,308.0
NUM_ISSUES,Number of Issues (N),3.0,False,2,0.9060232158934882,0.404,119.2,0.6812080536912751,298.0
NUM_ISSUES,Number of Issues (N),3.0,False,3,0.9765201532937211,0.392,121.60000000000001,0.7861842105263158,304.0
NUM_ISSUES,Number of Issues (N),3.0,False,4,0.9768049454359312,0.39,122.0,0.7475409836065574,305.0
NUM_ISSUES,Number of Issues (N),3.0,True,0,0.9939400902154386,0.002,199.60000000000002,0.5470941883767535,499.0
NUM_ISSUES,Number of Issues (N),3.0,True,1,0.9883453316682096,0.004,199.20000000000002,0.5903614457831325,498.0
NUM_ISSUES,Number of Issues (N),3.0,True,2,0.9900219252409346,0.004,199.20000000000002,0.6305220883534136,498.0
NUM_ISSUES,Number of Issues (N),3.0,True,3,0.9958537591468365,0.004,199.20000000000002,0.5742971887550201,498.0
NUM_ISSUES,Number of Issues (N),5.0,False,0,0.8980622667383013,0.41,118.0,1.064406779661017,295.0
NUM_ISSUES,Number of Issues (N),3.0,True,4,0.995010476219156,0.006,198.8,0.6559356136820925,497.0
NUM_ISSUES,Number of Issues (N),5.0,False,1,0.9346149264254408,0.404,119.2,0.9899328859060402,298.0
NUM_ISSUES,Number of Issues (N),5.0,False,2,0.9224070428773438,0.366,126.80000000000001,0.8990536277602523,317.0
NUM_ISSUES,Number of Issues (N),5.0,False,3,0.9724420400608688,0.372,125.60000000000001,0.8757961783439491,314.0
